month,airline,country,pax_in,pax_out
Nov-17,Air Caledonie International,New Caledonia,5510,5485
Nov-17,Air Canada,Canada,12230,12321
Nov-17,Air China,China,19967,21926
Nov-17,Air India,India,6417,6115
Nov-17,Air Mauritius,Mauritius,2465,2323
Nov-17,Air New Zealand,Cook Islands,973,1129
Nov-17,Air New Zealand,New Zealand,109745,112991
Nov-17,Air Niugini,Papua New Guinea,6825,6730
Nov-17,Air Vanuatu,Vanuatu,3826,3684
Nov-17,AirAsia X,Malaysia,52134,53827
Nov-17,AirAsia X,New Zealand,2858,3834
Nov-17,All Nippon Airways,Japan,6128,6371
Nov-17,American Airlines,USA,7571,7540
Nov-17,Asiana Airlines,Korea,10902,10010
Nov-17,Batik Air Indonesia,Indonesia,3538,2886
Nov-17,Beijing Capital Airlines,China,3602,4631
Nov-17,British Airways,Singapore,2846,2486
Nov-17,British Airways,UK,4908,4938
Nov-17,Cathay Pacific Airways,Hong Kong (SAR),69509,78888
Nov-17,Cebu Pacific Air,Philippines,5580,6566
Nov-17,China Airlines,New Zealand,2567,3275
Nov-17,China Airlines,Taiwan,9142,10667
Nov-17,China Eastern Airlines,China,26439,28080
Nov-17,China Southern Airlines,China,46386,50075
Nov-17,Delta Air Lines,USA,7235,6896
Nov-17,Emirates,New Zealand,27703,33626
Nov-17,Emirates,Singapore,11111,8626
Nov-17,Emirates,Thailand,5486,4859
Nov-17,Emirates,United Arab Emirates,82086,77667
Nov-17,Etihad Airways,United Arab Emirates,42543,45405
Nov-17,Eva Air,Taiwan,3247,3566
Nov-17,Fiji Airways,Fiji,21012,20620
Nov-17,Garuda Indonesia,Indonesia,22295,23620
Nov-17,Hainan Airlines,China,7170,8329
Nov-17,Hawaiian Airlines,USA,9097,9896
Nov-17,Hong Kong Airlines,Hong Kong (SAR),2463,2620
Nov-17,Indonesia AirAsia,Indonesia,12301,11872
Nov-17,Japan Airlines,Japan,9837,10075
Nov-17,Jetstar,Fiji,2996,2710
Nov-17,Jetstar,Indonesia,48406,45547
Nov-17,Jetstar,Japan,19675,20687
Nov-17,Jetstar,New Zealand,35438,37347
Nov-17,Jetstar,Singapore,4528,4929
Nov-17,Jetstar,Thailand,12528,12436
Nov-17,Jetstar,USA,10546,10199
Nov-17,Jetstar,Vietnam,7644,8817
Nov-17,Jetstar Asia,Singapore,9499,9447
Nov-17,Korean Air,Korea,13293,13379
Nov-17,LATAM Airlines,Chile,5363,5376
Nov-17,LATAM Airlines,New Zealand,3564,3793
Nov-17,Malaysia Airlines,Malaysia,34742,34932
Nov-17,Malindo Air,Indonesia,2291,2052
Nov-17,Malindo Air,Malaysia,5917,6029
Nov-17,Nauru Airlines,Nauru,564,692
Nov-17,Philippine Airlines,New Zealand,519,921
Nov-17,Philippine Airlines,Philippines,10647,11555
Nov-17,Qantas Airways,Chile,5522,5502
Nov-17,Qantas Airways,China,12568,13333
Nov-17,Qantas Airways,Hong Kong (SAR),29960,31553
Nov-17,Qantas Airways,Indonesia,6645,5872
Nov-17,Qantas Airways,Japan,24195,24279
Nov-17,Qantas Airways,New Caledonia,2110,2072
Nov-17,Qantas Airways,New Zealand,60957,64878
Nov-17,Qantas Airways,Papua New Guinea,3287,2673
Nov-17,Qantas Airways,Philippines,4041,3935
Nov-17,Qantas Airways,Singapore,32338,32315
Nov-17,Qantas Airways,South Africa,6050,5486
Nov-17,Qantas Airways,Thailand,6719,6560
Nov-17,Qantas Airways,UK,9829,10138
Nov-17,Qantas Airways,United Arab Emirates,8414,7567
Nov-17,Qantas Airways,USA,56645,52212
Nov-17,Qatar Airways,Qatar,32083,34242
Nov-17,Royal Brunei Airlines,Brunei,4231,4420
Nov-17,Scoot,Singapore,29109,29805
Nov-17,Sichuan Airlines,China,3210,5147
Nov-17,Silk Air,Singapore,3975,4779
Nov-17,Singapore Airlines,New Zealand,1573,1428
Nov-17,Singapore Airlines,Singapore,124544,131396
Nov-17,Solomon Airlines,Solomon Islands,1548,1492
Nov-17,South African Airways,South Africa,4947,5126
Nov-17,SriLankan Airlines,Sri Lanka,6368,6213
Nov-17,Thai Airways International,Thailand,38966,41122
Nov-17,Tianjin Airlines,China,1802,2393
Nov-17,United Airlines,USA,19131,17756
Nov-17,Vietnam Airlines,Vietnam,13722,15337
Nov-17,Virgin Australia,Fiji,12970,12386
Nov-17,Virgin Australia,Hong Kong (SAR),4192,4976
Nov-17,Virgin Australia,Indonesia,8840,8536
Nov-17,Virgin Australia,New Zealand,47332,50736
Nov-17,Virgin Australia,Papua New Guinea,1484,1504
Nov-17,Virgin Australia,Solomon Islands,563,601
Nov-17,Virgin Australia,Tonga,1174,1173
Nov-17,Virgin Australia,USA,16410,16331
Nov-17,Virgin Australia,Vanuatu,2010,2033
Nov-17,Virgin Australia,Western Samoa,902,964
Nov-17,Virgin Samoa,Western Samoa,786,602
Nov-17,Xiamen Airlines,China,6208,6559
