"sched_operator","service_to_from","flights","pax","seats_avail"
"Air Caledonie International","New Caledonia",891,119882,159196
"Air Canada","Canada",1430,321513,408382
"Air China","China",2030,394080,532098
"Air India","India",729,152449,186624
"Air Mauritius","Mauritius",237,53929,66150
"Air New Zealand","Cook Islands",106,19634,26187
"Air New Zealand","New Zealand",15007,2535244,3194410
"Air Niugini","Papua New Guinea",2523,183691,329873
"Air Vanuatu","Vanuatu",800,90996,136000
"AirAsia X","Malaysia",5492,1640413,2070484
"AirAsiaX","New Zealand",730,219029,275210
"All Nippon Airways","Japan",730,132363,160050
"American Airlines","USA",699,179084,216690
"Asiana Airlines","Korea",694,161189,210282
"Batik Air Indonesia (a)","Indonesia",37,3793,5772
"Beijing Capital Airlines (b)","China",236,40671,52392
"British Airways","UK",723,180319,214731
"Cathay Pacific Airways","Hong Kong (SAR)",7840,1806892,2073387
"Cebu Pacific Air","Philippines",486,156161,211896
"China Airlines","New Zealand",1038,243915,318624
"China Airlines","Taiwan",1304,317367,391550
"China Eastern Airlines","China",3186,646949,780276
"China Southern Airlines","China",4848,1128109,1347330
"Delta Air Lines","USA",700,177671,203700
"Emirates","New Zealand",2918,986978,1405000
"Emirates","United Arab Emirates",8320,2651570,3572036
"Etihad Airways","United Arab Emirates",4254,1244078,1575662
"Eva Air","Taiwan",430,83824,108360
"Fiji Airways","Fiji",3007,465917,570564
"Garuda Indonesia","Indonesia",3250,637010,755214
"Hainan Airlines (d)","China",602,121724,150500
"Hawaiian Airlines","USA",1064,232577,302088
"Hong Kong Airlines","Hong Kong (SAR)",362,72309,105686
"Indonesia AirAsia","Indonesia",2712,404574,488160
"Indonesia AirAsia Extra (e)","Indonesia",210,63635,79170
"Japan Airlines","Japan",730,144749,168909
"Jetstar","China",52,13035,17420
"Jetstar","Fiji",652,82536,117360
"Jetstar","Guam",1,319,335
"Jetstar","Indonesia",5411,1161868,1306455
"Jetstar","Japan",2054,545693,688090
"Jetstar","New Zealand",6020,875301,1087630
"Jetstar","Singapore",1242,257907,301680
"Jetstar","Thailand",1168,318690,391280
"Jetstar","USA",970,279361,324950
"Jetstar","Vietnam",98,27453,32830
"Jetstar Asia","Singapore",1784,246020,321120
"Jin Air (f)","Korea",31,11188,12121
"Korean Air","Korea",1212,307177,364154
"LATAM Airlines","Chile",707,163312,213729
"Malaysia Airlines","Malaysia",4650,933047,1217956
"Malindo Air","Malaysia",1397,154707,227268
"Nauru Airlines","Nauru",380,18696,41472
"Philippine Airlines","New Zealand",418,42577,66738
"Philippine Airlines","Philippines",1870,301512,462754
"Qantas Airways","Brazil",1,192,364
"Qantas Airways","Canada",90,26362,32738
"Qantas Airways","Chile",404,124922,145107
"Qantas Airways","China",1073,221048,280524
"Qantas Airways","Hong Kong (SAR)",2927,720211,930326
"Qantas Airways","Indonesia",792,138133,174150
"Qantas Airways","Japan",1837,484629,590894
"Qantas Airways","New Caledonia",421,59642,73042
"Qantas Airways","New Zealand",11990,1591169,1992156
"Qantas Airways","Papua New Guinea",897,59753,112489
"Qantas Airways","Philippines",546,130174,152835
"Qantas Airways","Singapore",4135,868680,1052032
"Qantas Airways","South Africa",630,189713,226501
"Qantas Airways","Thailand",754,182424,211614
"Qantas Airways","UK",1419,563422,686710
"Qantas Airways","United Arab Emirates",13,3774,6291
"Qantas Airways","USA",4509,1357857,1654181
"Qatar Airways","Qatar",2758,828954,1035826
"Royal Brunei Airlines","Brunei",725,131641,184150
"Scoot","Singapore",2264,643229,828770
"Sichuan Airlines","China",518,103097,139222
"Silk Air","Singapore",787,93311,127494
"Singapore Airlines","New Zealand",553,52131,86184
"Singapore Airlines","Singapore",13330,3129737,3791599
"Solomon Airlines","Solomon Islands",456,35905,62016
"South African Airways","South Africa",724,150004,195338
"Thai Airways International","Thailand",4066,1011307,1271247
"Tigerair Australia (g)","Indonesia",1056,163715,190080
"United Airlines","USA",2149,440017,541136
"Vietnam Airlines","Vietnam",1482,329961,431059
"Virgin Australia","Fiji",2139,316920,390456
"Virgin Australia","Indonesia",2060,289837,362560
"Virgin Australia","New Zealand",8636,1136481,1518982
"Virgin Australia","Papua New Guinea",613,43608,107828
"Virgin Australia","Solomon Islands",206,14008,36220
"Virgin Australia","Tonga",208,25093,36596
"Virgin Australia","United Arab Emirates",118,33527,40002
"Virgin Australia","USA",1555,425190,527651
"Virgin Australia","Vanuatu",357,50299,62820
"Virgin Samoa","Western Samoa",345,43815,60708
"Xiamen Airlines","China",854,146343,201554
